observed_at,ticker,label,price,change_pct,is_yield
2026-09-05T01:52:27-04:00,IWB,Russell 1000,421.50,-0.3687,0
2026-09-05T01:52:27-04:00,IWM,Russell 2000,296.01,0.2778,0
2026-09-05T01:52:27-04:00,EFA,MSCI EAFE,108.35,0.1294,0
2026-09-05T01:52:27-04:00,SPAXX,SPAXX 7d Yield,3.33,0,1
2026-09-05T01:52:27-04:00,FZFXX,FZFXX 7d Yield,3.34,0,1
2026-09-05T06:45:26-04:00,SPY,S&P 500,770.19,-0.3854,0
2026-09-05T06:45:26-04:00,IWB,Russell 1000,421.50,-0.3687,0
2026-09-05T06:45:26-04:00,IWM,Russell 2000,296.01,0.2778,0
2026-09-05T06:45:26-04:00,EFA,MSCI EAFE,108.35,0.1294,0
2026-09-05T06:45:26-04:00,SPAXX,SPAXX 7d Yield,3.33,0,1
2026-09-05T06:45:26-04:00,FZFXX,FZFXX 7d Yield,3.34,0,1
2026-09-05T09:55:03-04:00,SPY,S&P 500,770.19,-0.3854,0
2026-09-05T09:55:03-04:00,IWB,Russell 1000,421.50,-0.3687,0
2026-09-05T09:55:03-04:00,IWM,Russell 2000,296.01,0.2778,0
2026-09-05T09:55:03-04:00,EFA,MSCI EAFE,108.35,0.1294,0
2026-09-05T09:55:03-04:00,SPAXX,SPAXX 7d Yield,3.33,0,1
2026-09-05T09:55:03-04:00,FZFXX,FZFXX 7d Yield,3.34,0,1
2026-09-05T12:52:42-04:00,SPY,S&P 500,770.19,-0.3854,0
2026-09-05T12:52:42-04:00,IWB,Russell 1000,421.50,-0.3687,0
2026-09-05T12:52:42-04:00,IWM,Russell 2000,296.01,0.2778,0
2026-09-05T12:52:42-04:00,EFA,MSCI EAFE,108.35,0.1294,0
2026-09-05T12:52:42-04:00,SPAXX,SPAXX 7d Yield,3.33,0,1
2026-09-05T12:52:42-04:00,FZFXX,FZFXX 7d Yield,3.34,0,1
2026-09-05T15:08:17-04:00,SPAXX,SPAXX 7d Yield,3.33,0,1
2026-09-05T15:08:17-04:00,FZFXX,FZFXX 7d Yield,3.34,0,1
